"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Lipid metabolism","mmu01040","Biosynthesis of unsaturated fatty acids","4/39","34/11160",0.117647058823529,33.6651583710407,11.2960789944381,5.47640455839939e-06,0.000487400005697546,0.000432347728294689,"20249/76267/56473/329065",4
"Metabolism","Global and overview maps","mmu01212","Fatty acid metabolism","4/39","62/11160",0.0645161290322581,18.4615384615385,8.16448905784249,6.14044154084047e-05,0.00273249648567401,0.00242385850296334,"20249/76267/56473/329065",4
"Organismal Systems","Endocrine system","mmu03320","PPAR signaling pathway","4/39","89/11160",0.0449438202247191,12.8608470181504,6.65258303962332,0.000251169780390817,0.00745137015159424,0.00660973106291624,"20249/56473/20411/329065",4
"Metabolism","Amino acid metabolism","mmu00330","Arginine and proline metabolism","3/39","54/11160",0.0555555555555556,15.8974358974359,6.49834242831234,0.000865274838613581,0.0192523651591522,0.0170777928673733,"14718/67432/56454",3
"Metabolism","Amino acid metabolism","mmu00360","Phenylalanine metabolism","2/39","21/11160",0.0952380952380952,27.2527472527473,7.13073545514825,0.00239635402888796,0.0385285001734017,0.0341766707629228,"14718/67689",2
"Metabolism","Global and overview maps","mmu01230","Biosynthesis of amino acids","3/39","79/11160",0.0379746835443038,10.8666017526777,5.21152336495857,0.00259742697798214,0.0385285001734017,0.0341766707629228,"18563/14718/56454",3
